total_bill,tip,smoker,sex_id,day_id,time_id,size
1698.9999999999998,101.0,No,1,1,1,2
1034.0,166.0,No,2,1,1,3
2101.0,350.0,No,2,1,1,3
2368.0,331.0,No,2,1,1,2
2459.0,361.0,No,1,1,1,4
2529.0,471.0,No,2,1,1,4
877.0,200.0,No,2,1,1,2
2688.0,312.0,No,2,1,1,4
1504.0,196.0,No,2,1,1,2
1478.0,323.0,No,2,1,1,2
1027.0,171.0,No,2,1,1,2
3526.0,500.0,No,1,1,1,4
1542.0,157.0,No,2,1,1,2
1843.0,300.0,No,2,1,1,4
1483.0,302.0,No,1,1,1,2
2158.0,392.0,No,2,1,1,2
1033.0,167.0,No,1,1,1,3
1629.0,371.0,No,2,1,1,3
1697.0,350.0,No,1,1,1,3
2065.0,335.0,No,2,7,1,3
1792.0000000000002,408.0,No,2,7,1,2
2029.0,275.0,No,1,7,1,2
1577.0,223.0,No,1,7,1,2
3942.0,758.0,No,2,7,1,4
1982.0,318.0,No,2,7,1,2
1780.9999999999998,234.0,No,2,7,1,4
1337.0,200.0,No,2,7,1,2
1269.0,200.0,No,2,7,1,2
2170.0,430.0,No,2,7,1,2
1964.9999999999998,300.0,No,1,7,1,2
955.0000000000001,145.0,No,2,7,1,2
1835.0000000000002,250.0,No,2,7,1,4
1506.0,300.0,No,1,7,1,2
2069.0,245.00000000000003,No,1,7,1,4
1778.0,327.0,No,2,7,1,2
2406.0,360.0,No,2,7,1,3
1630.9999999999998,200.0,No,2,7,1,3
1693.0,307.0,No,1,7,1,3
1869.0000000000002,231.0,No,2,7,1,3
3127.0,500.0,No,2,7,1,3
1604.0,224.00000000000003,No,2,7,1,3
1746.0,254.0,No,2,1,1,2
1394.0,306.0,No,2,1,1,2
968.0,132.0,No,2,1,1,2
3040.0,560.0,No,2,1,1,4
1829.0,300.0,No,2,1,1,2
2223.0,500.0,No,2,1,1,2
3240.0,600.0,No,2,1,1,4
2855.0,204.99999999999997,No,2,1,1,3
1804.0,300.0,No,2,1,1,2
1254.0,250.0,No,2,1,1,2
1029.0,260.0,No,1,1,1,2
3481.0,520.0,No,1,1,1,4
994.0,156.0,No,2,1,1,2
2556.0,434.0,No,2,1,1,4
1948.9999999999998,351.0,No,2,1,1,2
3801.0,300.0,Yes,2,7,1,4
2641.0,150.0,No,1,7,1,2
1124.0,176.0,Yes,2,7,1,2
4827.0,673.0,No,2,7,1,4
2029.0,321.0,Yes,2,7,1,2
1381.0,200.0,Yes,2,7,1,2
1102.0,198.0,Yes,2,7,1,2
1829.0,376.0,Yes,2,7,1,4
1759.0,264.0,No,2,7,1,3
2007.9999999999998,315.0,No,2,7,1,3
1645.0,247.00000000000003,No,1,7,1,2
307.0,100.0,Yes,1,7,1,1
2023.0,200.99999999999997,No,2,7,1,2
1501.0,209.0,Yes,2,7,1,2
1202.0,197.0,No,2,7,1,2
1707.0,300.0,No,1,7,1,3
2686.0,314.0,Yes,1,7,1,2
2528.0,500.0,Yes,1,7,1,2
1473.0,220.00000000000003,No,1,7,1,2
1051.0,125.0,No,2,7,1,2
1792.0000000000002,308.0,Yes,2,7,1,2
2720.0,400.0,No,2,5,2,4
2276.0,300.0,No,2,5,2,2
1729.0,271.0,No,2,5,2,2
1944.0000000000002,300.0,Yes,2,5,2,2
1666.0,340.0,No,2,5,2,2
1007.0,183.0,No,1,5,2,1
3268.0,500.0,Yes,2,5,2,2
1598.0,202.99999999999997,No,2,5,2,2
3483.0,517.0,No,1,5,2,4
1303.0,200.0,No,2,5,2,2
1828.0,400.0,No,2,5,2,2
2471.0,585.0,No,2,5,2,2
2116.0,300.0,No,2,5,2,2
2897.0,300.0,Yes,2,6,1,2
2249.0,350.0,No,2,6,1,2
575.0,100.0,Yes,1,6,1,2
1632.0,430.0,Yes,1,6,1,2
2275.0,325.0,No,1,6,1,2
4017.0,473.00000000000006,Yes,2,6,1,4
2728.0,400.0,Yes,2,6,1,2
1203.0,150.0,Yes,2,6,1,2
2101.0,300.0,Yes,2,6,1,2
1246.0,150.0,No,2,6,1,2
1135.0,250.0,Yes,1,6,1,2
1538.0,300.0,Yes,1,6,1,2
4430.0,250.0,Yes,1,7,1,3
2242.0,348.0,Yes,1,7,1,2
2092.0,408.0,No,1,7,1,2
1536.0,164.0,Yes,2,7,1,2
2049.0,405.99999999999994,Yes,2,7,1,2
2521.0,429.0,Yes,2,7,1,2
1823.9999999999998,376.0,No,2,7,1,2
1431.0,400.0,Yes,1,7,1,2
1400.0,300.0,No,2,7,1,2
725.0,100.0,No,1,7,1,1
3807.0,400.0,No,2,1,1,3
2395.0,254.99999999999997,No,2,1,1,2
2571.0,400.0,No,1,1,1,3
1730.9999999999998,350.0,No,1,1,1,2
2993.0,507.0,No,2,1,1,4
1065.0,150.0,No,1,5,2,2
1243.0,180.0,No,1,5,2,2
2408.0,292.0,No,1,5,2,4
1169.0,231.0,No,2,5,2,2
1342.0,168.0,No,1,5,2,2
1426.0,250.0,No,2,5,2,2
1595.0,200.0,No,2,5,2,2
1248.0,252.0,No,1,5,2,2
2980.0,420.0,No,1,5,2,6
852.0,148.0,No,2,5,2,2
1452.0,200.0,No,1,5,2,2
1138.0,200.0,No,1,5,2,2
2282.0,218.00000000000003,No,2,5,2,3
1907.9999999999998,150.0,No,2,5,2,2
2027.0,283.0,No,1,5,2,2
1117.0,150.0,No,1,5,2,2
1226.0,200.0,No,1,5,2,2
1826.0000000000002,325.0,No,1,5,2,2
851.0,125.0,No,1,5,2,2
1033.0,200.0,No,1,5,2,2
1415.0,200.0,No,1,5,2,2
1600.0,200.0,Yes,2,5,2,2
1316.0,275.0,No,1,5,2,2
1747.0,350.0,No,1,5,2,2
3429.9999999999995,670.0,No,2,5,2,6
4119.0,500.0,No,2,5,2,5
2705.0,500.0,No,1,5,2,6
1643.0,229.99999999999997,No,1,5,2,2
835.0,150.0,No,1,5,2,2
1864.0,136.0,No,1,5,2,3
1187.0,163.0,No,1,5,2,2
977.9999999999999,173.0,No,2,5,2,2
751.0,200.0,No,2,5,2,2
1407.0,250.0,No,2,1,1,2
1313.0,200.0,No,2,1,1,2
1726.0000000000002,274.0,No,2,1,1,3
2455.0,200.0,No,2,1,1,4
1977.0,200.0,No,2,1,1,4
2985.0,514.0,No,1,1,1,5
4817.0,500.0,No,2,1,1,6
2500.0,375.0,No,1,1,1,4
1339.0,261.0,No,1,1,1,2
1648.9999999999998,200.0,No,2,1,1,4
2150.0,350.0,No,2,1,1,4
1266.0,250.0,No,2,1,1,2
1621.0,200.0,No,1,1,1,3
